name,HR_GDETYP2012_L1_Name_fr,yes_pct,voters
Aeugst am Albis,Rural,48.12992126,1418
Affoltern am Albis,Urbain,42.214199759,7197
Bonstetten,Intermédiaire (périurbain dense et centres ruraux),46.839681875,3665
Hausen am Albis,Intermédiaire (périurbain dense et centres ruraux),41.988636364,2559
Hedingen,Urbain,48.65967366,2523
Kappel am Albis,Rural,36.173913043,799
Knonau,Intermédiaire (périurbain dense et centres ruraux),41.758241758,1498
Maschwanden,Rural,30.882352941,451
Mettmenstetten,Intermédiaire (périurbain dense et centres ruraux),43.909889271,3645
Obfelden,Intermédiaire (périurbain dense et centres ruraux),38.711151737,3542
Ottenbach,Intermédiaire (périurbain dense et centres ruraux),42.481203008,1920
Rifferswil,Rural,50.07751938,791
Stallikon,Intermédiaire (périurbain dense et centres ruraux),48.362720403,2399
Wettswil am Albis,Intermédiaire (périurbain dense et centres ruraux),47.370727432,3446
Benken (ZH),Rural,26.773455378,597
Berg am Irchel,Intermédiaire (périurbain dense et centres ruraux),33.055555556,454
Buch am Irchel,Rural,28.651685393,726
Dachsen,Intermédiaire (périurbain dense et centres ruraux),47.703180212,1353
Dorf,Rural,28.450704225,490
Feuerthalen,Urbain,45.650557621,2297
Flaach,Intermédiaire (périurbain dense et centres ruraux),32.086330935,967
Flurlingen,Urbain,57.5,1046
Henggart,Intermédiaire (périurbain dense et centres ruraux),31.375838926,1681
Kleinandelfingen,Intermédiaire (périurbain dense et centres ruraux),34.141610087,1485
Laufen-Uhwiesen,Intermédiaire (périurbain dense et centres ruraux),44.314185229,1270
Marthalen,Intermédiaire (périurbain dense et centres ruraux),32.998996991,1385
Ossingen,Rural,34.807256236,1248
Rheinau,Rural,52.012882448,851
Thalheim an der Thur,Rural,33.201581028,682
Trüllikon,Rural,33.838383838,805
Truttikon,Rural,31.578947368,350
Volken,Intermédiaire (périurbain dense et centres ruraux),32.307692308,262
Bachenbülach,Urbain,42.204496012,2545
Bassersdorf,Urbain,40.765936004,7241
Bülach,Urbain,42.142127535,12892
Dietlikon,Urbain,44.504504505,4725
Eglisau,Intermédiaire (périurbain dense et centres ruraux),44.170096022,3290
Embrach,Urbain,36.055317748,5640
Freienstein-Teufen,Urbain,41.502683363,1670
Glattfelden,Intermédiaire (périurbain dense et centres ruraux),37.183718372,3142
Hochfelden,Intermédiaire (périurbain dense et centres ruraux),35.924617197,1337
Höri,Urbain,32.035175879,1530
Hüntwangen,Rural,40.503875969,760
Kloten,Urbain,41.065132678,11232
Lufingen,Intermédiaire (périurbain dense et centres ruraux),35.379812695,1629
Nürensdorf,Intermédiaire (périurbain dense et centres ruraux),34.60639127,3893
Oberembrach,Rural,31.793960924,827
Opfikon,Urbain,45.936570862,9239
Rafz,Intermédiaire (périurbain dense et centres ruraux),38.238341969,2952
Rorbas,Urbain,41.924398625,1649
Wallisellen,Urbain,44.967074318,9640
Wasterkingen,Rural,29.152542373,424
Wil (ZH),Rural,34.189189189,1046
Winkel,Urbain,32.566870014,3272
Bachs,Rural,29.813664596,437
Boppelsen,Rural,37.062937063,1032
Buchs (ZH),Intermédiaire (périurbain dense et centres ruraux),35.707591378,3929
Dällikon,Intermédiaire (périurbain dense et centres ruraux),33.648542159,2432
Dänikon,Intermédiaire (périurbain dense et centres ruraux),40.334855403,1098
Dielsdorf,Intermédiaire (périurbain dense et centres ruraux),38.755458515,3313
Hüttikon,Intermédiaire (périurbain dense et centres ruraux),38.674033149,586
Neerach,Intermédiaire (périurbain dense et centres ruraux),34.837889383,2383
Niederglatt,Urbain,30.827505828,2964
Niederhasli,Urbain,36.541005291,5542
Niederweningen,Intermédiaire (périurbain dense et centres ruraux),42.276422764,2048
Oberglatt,Urbain,36.820572764,3628
Oberweningen,Intermédiaire (périurbain dense et centres ruraux),38.839848676,1218
Otelfingen,Intermédiaire (périurbain dense et centres ruraux),42.5942156,1796
Regensberg,Intermédiaire (périurbain dense et centres ruraux),42.857142857,319
Regensdorf,Urbain,39.607097592,9726
Rümlang,Intermédiaire (périurbain dense et centres ruraux),37.954642704,4543
Schleinikon,Intermédiaire (périurbain dense et centres ruraux),34.345794393,629
Schöfflisdorf,Intermédiaire (périurbain dense et centres ruraux),39.361702128,952
Stadel,Intermédiaire (périurbain dense et centres ruraux),27.497621313,1651
Steinmaur,Intermédiaire (périurbain dense et centres ruraux),36.654275093,2131
Weiach,Intermédiaire (périurbain dense et centres ruraux),25.570776256,1186
