"id","name","canton_id","canton_name","ballot_id","ballot_name","yes","no","yes_pct","turnout","ballots_returned","voters","valid_votes"
"1","Zürich","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",277482,285314,49.304188374,59.473534753,567572,954327,562796
"2","Bern / Berne","2","Bern / Berne",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",185479,273507,40.410600759,62.273025626,462985,743476,458986
"3","Luzern","3","Luzern",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",62112,119423,34.214889691,65.334212888,184217,281961,181535
"4","Uri","4","Uri",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",4630,12251,27.427285113,63.511904762,17072,26880,16881
"5","Schwyz","5","Schwyz",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",21318,51590,29.23958962,68.553364867,73191,106765,72908
"6","Obwalden","6","Obwalden",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",5268,13662,27.828843106,71.524133343,19353,27058,18930
"7","Nidwalden","7","Nidwalden",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",6233,15125,29.183444143,68.394453394,21653,31659,21358
"8","Glarus","8","Glarus",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",6391,9310,40.704413732,59.465763732,15806,26580,15701
"9","Zug","9","Zug",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",20267,32145,38.668625506,67.464445868,52656,78050,52412
"10","Fribourg / Freiburg","10","Fribourg / Freiburg",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",40349,88832,31.234469465,62.195023178,130543,209893,129181
"11","Solothurn","11","Solothurn",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",42985,63653,40.309270616,59.182413171,107335,181363,106638
"12","Basel-Stadt","12","Basel-Stadt",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",38309,26888,58.758838597,58.083874302,66301,114147,65197
"13","Basel-Landschaft","13","Basel-Landschaft",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",45626,64231,41.532173644,59.3825567,112717,189815,109857
"14","Schaffhausen","14","Schaffhausen",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",16542,20858,44.229946524,73.007838323,38654,52945,37400
"15","Appenzell Ausserrhoden","15","Appenzell Ausserrhoden",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",9967,15551,39.05870366,66.077302632,25712,38912,25518
"16","Appenzell Innerrhoden","16","Appenzell Innerrhoden",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",2032,5795,25.961415613,65.452002961,7957,12157,7827
"17","St. Gallen","17","St. Gallen",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",72887,121660,37.464982755,59.766824419,195621,327307,194547
"18","Graubünden / Grigioni / Grischun","18","Graubünden / Grigioni / Grischun",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",31730,52147,37.829202284,60.376916691,85091,140933,83877
"19","Aargau","19","Aargau",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",97617,158044,38.182202213,59.07233192,257133,435285,255661
"20","Thurgau","20","Thurgau",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",35857,69711,33.965785086,61.501135074,108365,176200,105568
