"id","name","canton_id","canton_name","ballot_id","ballot_name","yes","no","yes_pct","turnout","ballots_returned","voters","valid_votes"
"101","Bezirk Affoltern","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",10401,13203,44.064565328,66.31523164,23776,35853,23604
"102","Bezirk Andelfingen","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",5867,9964,37.060198345,71.172216766,15944,22402,15831
"103","Bezirk Bülach","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",20294,29802,40.510220377,55.675407121,50428,90575,50096
"104","Bezirk Dielsdorf","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",11051,18971,36.809672907,56.494779897,30249,53543,30022
"105","Bezirk Hinwil","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",15654,23282,40.204438052,62.164992622,39177,63021,38936
"106","Bezirk Horgen","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",20673,24713,45.549288327,61.240673516,45718,74653,45386
"107","Bezirk Meilen","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",19752,23144,46.046251399,64.767196322,43247,66773,42896
"108","Bezirk Pfäffikon","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",10351,15347,40.279399175,64.560528612,25892,40105,25698
"109","Bezirk Uster","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",22876,26155,46.6561971,60.760162752,49429,81351,49031
"110","Bezirk Winterthur","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",34190,34467,49.798272572,62.507214487,69313,110888,68657
"111","Bezirk Dietikon","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",11181,14636,43.30867258,52.832294859,26031,49271,25817
"112","Bezirk Zürich","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",90453,48066,65.300067139,59.817876479,139984,234017,138519
"9010","ZH-Ausland-CH","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",4739,3564,57.075755751,26.302745098,8384,31875,8303
"241","Arrondissement administratif Jura bernois","2","Bern / Berne",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",6493,15121,30.040714352,59.561709551,21852,36688,21614
"242","Verwaltungskreis Biel/Bienne","2","Bern / Berne",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",16546,16377,50.256659478,52.703858582,33273,63132,32923
"243","Verwaltungskreis Seeland","2","Bern / Berne",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",12212,23207,34.478669641,64.283910534,35639,55440,35419
"244","Verwaltungskreis Oberaargau","2","Bern / Berne",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",11159,25605,30.353062779,62.205254129,36986,59458,36764
"245","Verwaltungskreis Emmental","2","Bern / Berne",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",13378,34465,27.962293334,63.397720993,48181,75998,47843
"246","Verwaltungskreis Bern-Mittelland","2","Bern / Berne",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",92027,91954,50.019839005,63.569014817,185858,292372,183981
