"id","name","canton_id","canton_name","ballot_id","ballot_name","yes_pct","yes","no","turnout","ballots_returned","voters","valid_votes","vote_date"
"1","Aeugst am Albis","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",48.12992126,489,527,71.932299013,1020,1418,1016,"2021_06_13"
"2","Affoltern am Albis","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",42.214199759,1754,2401,58.149228845,4185,7197,4155,"2021_06_13"
"3","Bonstetten","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",46.839681875,1119,1270,65.702592087,2408,3665,2389,"2021_06_13"
"4","Hausen am Albis","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",41.988636364,739,1021,69.206721376,1771,2559,1760,"2021_06_13"
"5","Hedingen","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",48.65967366,835,881,68.688069758,1733,2523,1716,"2021_06_13"
"6","Kappel am Albis","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",36.173913043,208,367,72.465581977,579,799,575,"2021_06_13"
"7","Knonau","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",41.758241758,418,583,67.222963952,1007,1498,1001,"2021_06_13"
"8","Maschwanden","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",30.882352941,105,235,75.388026608,340,451,340,"2021_06_13"
"9","Mettmenstetten","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",43.909889271,1150,1469,72.537722908,2644,3645,2619,"2021_06_13"
"10","Obfelden","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",38.711151737,847,1341,62.22473179,2204,3542,2188,"2021_06_13"
"11","Ottenbach","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",42.481203008,565,765,69.739583333,1339,1920,1330,"2021_06_13"
"12","Rifferswil","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",50.07751938,323,322,82.048040455,649,791,645,"2021_06_13"
"13","Stallikon","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",48.362720403,768,820,66.569403918,1597,2399,1588,"2021_06_13"
"14","Wettswil am Albis","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",47.370727432,1081,1201,66.744051074,2300,3446,2282,"2021_06_13"
"22","Benken (ZH)","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",26.773455378,117,320,73.869346734,441,597,437,"2021_06_13"
"23","Berg am Irchel","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",33.055555556,119,241,79.515418502,361,454,360,"2021_06_13"
"24","Buch am Irchel","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",28.651685393,153,381,73.966942149,537,726,534,"2021_06_13"
"25","Dachsen","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",47.703180212,405,444,63.414634146,858,1353,849,"2021_06_13"
"26","Dorf","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",28.450704225,101,254,73.469387755,360,490,355,"2021_06_13"
"27","Feuerthalen","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",45.650557621,614,731,59.425337397,1365,2297,1345,"2021_06_13"
"28","Flaach","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",32.086330935,223,472,72.182006205,698,967,695,"2021_06_13"
"29","Flurlingen","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",57.5,414,306,69.694072658,729,1046,720,"2021_06_13"
"31","Henggart","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",31.375838926,374,818,71.386079714,1200,1681,1192,"2021_06_13"
"33","Kleinandelfingen","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",34.141610087,352,679,69.966329966,1039,1485,1031,"2021_06_13"
"34","Laufen-Uhwiesen","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",44.314185229,378,475,67.559055118,858,1270,853,"2021_06_13"
"35","Marthalen","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",32.998996991,329,668,72.346570397,1002,1385,997,"2021_06_13"
"37","Ossingen","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",34.807256236,307,575,70.833333333,884,1248,882,"2021_06_13"
"38","Rheinau","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",52.012882448,323,298,73.325499412,624,851,621,"2021_06_13"
"39","Thalheim an der Thur","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",33.201581028,168,338,74.340175953,507,682,506,"2021_06_13"
"40","Trüllikon","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",33.838383838,201,393,73.913043478,595,805,594,"2021_06_13"
"41","Truttikon","1","Zürich",6410,"Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»",31.578947368,90,195,82,287,350,285,"2021_06_13"
