Identifier,Name_fr,CODE_OFS,HR_HGDE_HIST_L1,HR_HGDE_HIST_L1_Name_fr,HR_HGDE_HIST_L2,HR_HGDE_HIST_L2_Name_fr,HR_AGGL2012,HR_AGGL2012_Name_fr,HR_AGGL2020,HR_AGGL2020_Name_fr,HR_AGGLGK2012_L1,HR_AGGLGK2012_L1_Name_fr,HR_AGGLGK2012_L2,HR_AGGLGK2012_L2_Name_fr,HR_AGGLGK2020_L1,HR_AGGLGK2020_L1_Name_fr,HR_AGGLGK2020_L2,HR_AGGLGK2020_L2_Name_fr,HR_BAE2018_L1,HR_BAE2018_L1_Name_fr,HR_BAE2018_L2,HR_BAE2018_L2_Name_fr,HR_DEGURB2011,HR_DEGURB2011_Name_fr,HR_FUA2014,HR_FUA2014_Name_fr,HR_GCITIES2011,HR_GCITIES2011_Name_fr,HR_GDETYP2012_L1,HR_GDETYP2012_L1_Name_fr,HR_GDETYP2012_L2,HR_GDETYP2012_L2_Name_fr,HR_GDETYP2012_L3,HR_GDETYP2012_L3_Name_fr,HR_GDETYP2020_L1,HR_GDETYP2020_L1_Name_fr,HR_GDETYP2020_L2,HR_GDETYP2020_L2_Name_fr,HR_GDETYP2020_L3,HR_GDETYP2020_L3_Name_fr,HR_MONT2019,HR_MONT2019_Name_fr,HR_REGCH,HR_REGCH_Name_fr,HR_RSC2012,HR_RSC2012_Name_fr,HR_RSC2020,HR_RSC2020_Name_fr,HR_SPRGEB2020,HR_SPRGEB2020_Name_fr,HR_STADTE2012,HR_STADTE2012_Name_fr,HR_STADTE2020,HR_STADTE2020_Name_fr,INSCRIPTION,ABBREV
10009,Villnachern,4122,19,Aargau,10023,Bezirk Brugg,0,Commune ne faisant pas partie d'une agglomération et n'étant pas non plus un centre hors agglomération,0,Commune ne faisant pas partie d'une agglomération et n'étant pas non plus un centre hors agglomération,0,Pas d'appartenance à une agglomération,0,Commune ne faisant pas partie d'une agglomération et n'étant pas non plus un centre hors agglomération,0,Pas d'appartenance à une agglomération,0,Commune ne faisant pas partie d'une agglomération et n'étant pas non plus un centre hors agglomération,12,Région Zurich,12010,Baden,2,Zone urbanisée intermédiaire,0,Pas d'appartenance à une zone urbaine fonctionnelle,0,Pas d'appartenance à une ville élargie,3,Rural,23,Commune périurbaine de faible densité,236,Commune périurbaine industrielle de faible densité,3,Rural,23,Commune périurbaine de faible densité,236,Commune périurbaine industrielle de faible densité,0,Commune hors des régions de montagne,3,Nordwestschweiz,5,Commune multi-orientée,5,Commune multi-orientée,1,Allemand,0,non,0,non,NA,NA
10078,Vionnaz,6158,23,Valais / Wallis,10013,District de Monthey,0,Commune ne faisant pas partie d'une agglomération et n'étant pas non plus un centre hors agglomération,0,Commune ne faisant pas partie d'une agglomération et n'étant pas non plus un centre hors agglomération,0,Pas d'appartenance à une agglomération,0,Commune ne faisant pas partie d'une agglomération et n'étant pas non plus un centre hors agglomération,0,Pas d'appartenance à une agglomération,0,Commune ne faisant pas partie d'une agglomération et n'étant pas non plus un centre hors agglomération,02,Région Lausanne,02040,Monthey,3,Zone faiblement peuplée,0,Pas d'appartenance à une zone urbaine fonctionnelle,0,Pas d'appartenance à une ville élargie,2,Intermédiaire (périurbain dense et centres ruraux),22,Commune périurbaine de moyenne densité,226,Commune périurbaine industrielle de densité moyenne,2,Intermédiaire (périurbain dense et centres ruraux),22,Commune périurbaine de moyenne densité,226,Commune périurbaine industrielle de densité moyenne,1,Commune des régions de montagne,1,Région lémanique,5,Commune multi-orientée,5,Commune multi-orientée,2,Français,0,non,0,non,NA,NA
10157,Speicher,3023,15,Appenzell Ausserrhoden,10098,Bezirk Mittelland,3203,St. Gallen,3203,St. Gallen,3,100'000 - 249'999 habitant(e)s,3203,St. Gallen,3,100'000 - 249'999 habitant(e)s,3203,St. Gallen,15,Région lac de Constance,15050,St. Gallen,2,Zone urbanisée intermédiaire,3203960,St. Gall : zone urbaine fonctionnelle,0,Pas d'appartenance à une ville élargie,2,Intermédiaire (périurbain dense et centres ruraux),22,Commune périurbaine de moyenne densité,227,Commune périurbaine tertiaire de densité moyenne,2,Intermédiaire (périurbain dense et centres ruraux),21,Commune périurbaine de forte densité,217,Commune périurbaine tertiaire de forte densité,1,Commune des régions de montagne,5,Ostschweiz,4,Commune de la couronne d‘agglomération,4,Commune de la couronne d‘agglomération,1,Allemand,0,non,0,non,NA,NA
10159,Zwischbergen,6011,23,Valais / Wallis,10035,Bezirk Brig,6002,Brig – Visp,0,Commune ne faisant pas partie d'une agglomération et n'étant pas non plus un centre hors agglomération,5,< 50'000 habitant(e)s,6002,Brig – Visp,0,Pas d'appartenance à une agglomération,0,Commune ne faisant pas partie d'une agglomération et n'étant pas non plus un centre hors agglomération,07,Alpes occidentales,07090,Brig-Glis,3,Zone faiblement peuplée,0,Pas d'appartenance à une zone urbaine fonctionnelle,0,Pas d'appartenance à une ville élargie,3,Rural,23,Commune périurbaine de faible densité,237,Commune périurbaine tertiaire de faible densité,3,Rural,33,Commune rurale périphérique,338,Commune rurale mixte périphérique,1,Commune des régions de montagne,1,Région lémanique,4,Commune de la couronne d‘agglomération,0,Commune rurale sans caractère urbain,1,Allemand,0,non,0,non,NA,NA
10162,Villars-sur-Glâne,2228,10,Fribourg / Freiburg,10104,District de la Sarine,2196,Fribourg,2196,Fribourg,3,100'000 - 249'999 habitant(e)s,2196,Fribourg,4,50'000 - 99'999 habitant(e)s,2196,Fribourg,04,Région Fribourg,04030,Fribourg,2,Zone urbanisée intermédiaire,0,Pas d'appartenance à une zone urbaine fonctionnelle,0,Pas d'appartenance à une ville élargie,1,Urbain,12,Commune urbaine d'une agglomération moyenne,122,Commune urbaine d’emploi d'une agglomération moyenne,1,Urbain,12,Commune urbaine d'une agglomération moyenne,122,Commune urbaine d’emploi d'une agglomération moyenne,0,Commune hors des régions de montagne,2,Espace Mittelland,2,Commune-centre d‘agglomération (centre principal),2,Commune-centre d‘agglomération (centre principal),2,Français,1,oui (ville),1,oui (ville),NA,NA
10165,Villarsel-sur-Marly,2230,10,Fribourg / Freiburg,10104,District de la Sarine,2196,Fribourg,2196,Fribourg,3,100'000 - 249'999 habitant(e)s,2196,Fribourg,4,50'000 - 99'999 habitant(e)s,2196,Fribourg,04,Région Fribourg,04030,Fribourg,3,Zone faiblement peuplée,0,Pas d'appartenance à une zone urbaine fonctionnelle,0,Pas d'appartenance à une ville élargie,3,Rural,23,Commune périurbaine de faible densité,235,Commune périurbaine agricole de faible densité,3,Rural,23,Commune périurbaine de faible densité,235,Commune périurbaine agricole de faible densité,0,Commune hors des régions de montagne,2,Espace Mittelland,4,Commune de la couronne d‘agglomération,4,Commune de la couronne d‘agglomération,2,Français,0,non,0,non,NA,NA
10242,Wila,181,1,Zürich,10076,Bezirk Pfäffikon,0,Commune ne faisant pas partie d'une agglomération et n'étant pas non plus un centre hors agglomération,0,Commune ne faisant pas partie d'une agglomération et n'étant pas non plus un centre hors agglomération,0,Pas d'appartenance à une agglomération,0,Commune ne faisant pas partie d'une agglomération et n'étant pas non plus un centre hors agglomération,0,Pas d'appartenance à une agglomération,0,Commune ne faisant pas partie d'une agglomération et n'étant pas non plus un centre hors agglomération,12,Région Zurich,12040,Winterthur,3,Zone faiblement peuplée,261960,Zurich : zone urbaine fonctionnelle,0,Pas d'appartenance à une ville élargie,2,Intermédiaire (périurbain dense et centres ruraux),22,Commune périurbaine de moyenne densité,226,Commune périurbaine industrielle de densité moyenne,2,Intermédiaire (périurbain dense et centres ruraux),22,Commune périurbaine de moyenne densité,226,Commune périurbaine industrielle de densité moyenne,0,Commune hors des régions de montagne,4,Zürich,5,Commune multi-orientée,5,Commune multi-orientée,1,Allemand,0,non,0,non,NA,NA
10268,Wil (ZH),71,1,Zürich,10081,Bezirk Bülach,261,Zürich,261,Zürich,1,>= 500'000 habitant(e)s,261,Zürich,1,>= 500'000 habitant(e)s,261,Zürich,12,Région Zurich,12032,Kloten,3,Zone faiblement peuplée,261960,Zurich : zone urbaine fonctionnelle,0,Pas d'appartenance à une ville élargie,3,Rural,23,Commune périurbaine de faible densité,236,Commune périurbaine industrielle de faible densité,3,Rural,23,Commune périurbaine de faible densité,236,Commune périurbaine industrielle de faible densité,0,Commune hors des régions de montagne,4,Zürich,4,Commune de la couronne d‘agglomération,4,Commune de la couronne d‘agglomération,1,Allemand,0,non,0,non,NA,NA
10275,Wettingen,4045,19,Aargau,10025,Bezirk Baden,4021,Baden – Brugg,4021,Baden – Brugg,3,100'000 - 249'999 habitant(e)s,4021,Baden – Brugg,3,100'000 - 249'999 habitant(e)s,4021,Baden – Brugg,12,Région Zurich,12010,Baden,2,Zone urbanisée intermédiaire,261960,Zurich : zone urbaine fonctionnelle,0,Pas d'appartenance à une ville élargie,1,Urbain,12,Commune urbaine d'une agglomération moyenne,123,Commune urbaine résidentielle d'une agglomération moyenne,1,Urbain,12,Commune urbaine d'une agglomération moyenne,123,Commune urbaine résidentielle d'une agglomération moyenne,0,Commune hors des régions de montagne,3,Nordwestschweiz,2,Commune-centre d‘agglomération (centre principal),2,Commune-centre d‘agglomération (centre principal),1,Allemand,1,oui (ville),1,oui (ville),NA,NA
10277,Wetzikon (ZH),121,1,Zürich,10079,Bezirk Hinwil,261,Zürich,261,Zürich,1,>= 500'000 habitant(e)s,261,Zürich,1,>= 500'000 habitant(e)s,261,Zürich,12,Région Zurich,12037,Wetzikon (ZH),2,Zone urbanisée intermédiaire,261960,Zurich : zone urbaine fonctionnelle,0,Pas d'appartenance à une ville élargie,1,Urbain,11,Commune urbaine d’une grande agglomération,112,Commune urbaine d’emploi d'une grande agglomération,1,Urbain,11,Commune urbaine d’une grande agglomération,112,Commune urbaine d’emploi d'une grande agglomération,0,Commune hors des régions de montagne,4,Zürich,3,Commune-centre d‘agglomération (centre secondaire),3,Commune-centre d‘agglomération (centre secondaire),1,Allemand,1,oui (ville),1,oui (ville),NA,NA
